"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",402.23,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.22,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",965.09,"bereinigt"
"2013-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.75,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",495.23,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.91,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.03,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.38,"bereinigt"
"2013-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",10.72,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",142.85,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.81,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.06,"bereinigt"
"2013-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",5.51,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",256.98,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.69,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.89,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.25,"bereinigt"
"2013-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",43.96,"bereinigt"
"2013-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",96.6,"bereinigt"
"2013-01-03T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.04,"bereinigt"
"2013-01-03T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",988.28,"bereinigt"
"2013-01-03T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",5.16,"bereinigt"
"2013-01-03T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",183.65,"bereinigt"
"2013-01-03T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.99,"bereinigt"
"2013-01-03T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",985.02,"bereinigt"
"2013-01-03T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",4.91,"bereinigt"
"2013-01-03T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",34.93,"bereinigt"
"2013-01-04T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",16.07,"bereinigt"
"2013-01-04T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.27,"bereinigt"
"2013-01-04T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",988.9,"bereinigt"
"2013-01-04T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.64,"bereinigt"
"2013-01-04T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",54.42,"bereinigt"
"2013-01-04T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.99,"bereinigt"
"2013-01-04T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",985.69,"bereinigt"
"2013-01-04T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.05,"bereinigt"
"2013-01-04T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.78,"bereinigt"
"2013-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",4.42,"bereinigt"
"2013-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.25,"bereinigt"
"2013-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",985.25,"bereinigt"
"2013-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.05,"bereinigt"
"2013-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",4.57,"bereinigt"
